Resource ID,Původní hodnota,Navrhovaná hodnota,Důvod
gid://shopify/Product/7206853738579,SRC(hu): BU1 zöld zokni nélküli,sportszár,Glosář: socks_stutzen -> sportszár (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(hu): Ezekben a zoknikban valóban nagy figyelmet fordítottunk.  A könnyű és funkcionális anyag tökéletes keveréke biztosítja, hogy a zoknik szorosan tartsanak, miközben nagyon kényelmesek is lesznek. Ideális azok számára, akik szeretik a zoknikat a zoknikhoz használni. <strong>A klubodban a gondnok imádni fog téged, többé nem kell a zoknikat vágni :-)</strong> Speciális hálós anyag a vádlin a kényelem javítása érdekében. Anyag: 80 % polipropilén, 15 % gumi, 5 % elasztán. Elérhető UK 3-tól UK 11-ig és azon túl.",sportszár,Glosář: socks_stutzen -> sportszár (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(hu): 💚 BU1 štulpny - könnyű és kényelmes, légáteresztő hálóval. Ideális zoknival való viseléshez, kiváló támogatás mozgás közben. Elérhető UK 3-11+ méretekben.",sportszár,Glosář: socks_stutzen -> sportszár (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(pl): 💚 BU1 štulpny - lekkie i wygodne z oddychającą siateczką. Idealne do noszenia ze skarpetkami, doskonałe wsparcie podczas ruchu. Dostępne w rozmiarach UK 3-11+.",getry,Glosář: socks_stutzen -> getry (Source contains 'štulpny')
gid://shopify/Product/7206853738579,SRC(sk): BU1 štulpny zelené bez ponožky,štulpne,Glosář: socks_stutzen -> štulpne (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(sk): 💚 BU1 štulpny - ľahké a pohodlné s predušnou sieťovinou. Ideálne na nosenie s ponožkami, skvelá opora pri pohybe. Dostupné vo veľkostiach UK 3-11+.",štulpne,Glosář: socks_stutzen -> štulpne (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(ro): Ne-am străduit cu adevărat pentru aceste șosete.  Un amestec perfect de material ușor și funcțional va asigura că șosetele vor sta bine și vor fi foarte confortabile. Ideal pentru cei care leagă șosetele de șosete. <strong>Administratorul din clubul dumneavoastră vă va iubi, nu va mai trebui să tăiați șosetele :-)</strong> O plasă specială pe gambe pentru a îmbunătăți confortul. Material: 80 % polipropilen, 15 % cauciuc, 5 % elastan Disponibile în dimensiuni de la UK 3 la UK 11 și mai mult.",jambiere,Glosář: socks_stutzen -> jambiere (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(ro): 💚 BU1 štulpny - ușoare și confortabile cu material respirabil. Ideale pentru purtarea cu șosete, oferă un suport excelent în mișcare. Disponibile în mărimile UK 3-11+.",jambiere,Glosář: socks_stutzen -> jambiere (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(hr): Na ovim štulpnama smo se stvarno potrudili.  Savršena kombinacija laganog i funkcionalnog materijala osigurava da će štulpne čvrsto držati, a istovremeno biti vrlo ugodne. Idealno za one koji vole nositi svoje čarape uz štulpne. <strong>Upravitelj u vašem klubu će vas obožavati, više nema šišanja štulpen :-)</strong> Specijalna mrežica na listu za poboljšanje udobnosti. Materijal: 80 % polipropilen, 15 % guma, 5 % elastan Dostupno u veličinama od UK 3 do UK 11 i više.",štucne,Glosář: socks_stutzen -> štucne (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(hr): 💚 BU1 štulpny - lagane i udobne s prozračnom mrežastom tkaninom. Idealne za nošenje s čarapama, izvrsna potpora pri kretanju. Dostupne u veličinama UK 3-11+.",štucne,Glosář: socks_stutzen -> štucne (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(es): 💚 BU1 štulpny - ligeras y cómodas con malla transpirable. Ideales para usar con calcetines, excelente soporte durante el movimiento. Disponibles en tallas UK 3-11+.",medias,Glosář: socks_stutzen -> medias (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(it): Ci siamo davvero impegnati con queste calze.  Un mix perfetto di materiale leggero e funzionale garantirà che le calze rimangano ben ferme e siano molto piacevoli da indossare. Ideale per chi ama indossare i propri calzini con le calze. <strong>Il gestore del tuo club ti amerà, niente più tagli delle calze :-)</strong> Una rete speciale sul polpaccio per migliorare il comfort. Materiale: 80% polipropilene, 15% gomma, 5% elastan Disponibile nelle taglie da UK 3 a UK 11 e oltre.",calzettoni,Glosář: socks_stutzen -> calzettoni (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(it): 💚 BU1 štulpny - leggere e comode con rete traspirante. Ideali da indossare con i calzini, ottimo supporto durante il movimento. Disponibili nelle taglie UK 3-11+.",calzettoni,Glosář: socks_stutzen -> calzettoni (Source contains 'štulpny')
gid://shopify/Product/7206853738579,SRC(fr): Chaussettes BU1 vertes sans pied,chaussettes de foot,Glosář: socks_stutzen -> chaussettes de foot (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(fr): Nous avons vraiment mis du cœur à l'ouvrage sur ces chaussettes.  Un mélange parfait de matériaux légers et fonctionnels garantit que les chaussettes resteront bien en place tout en étant très agréables à porter. Idéal pour ceux qui aiment porter leurs chaussettes avec les chaussettes de sport. <strong>Le responsable de votre club va vous adorer, plus besoin de couper les chaussettes :-)</strong> Un tissu en maille spécial au niveau du mollet pour un meilleur confort. Matériau : 80 % polypropylène, 15 % caoutchouc, 5 % élasthanne Disponible en tailles allant du UK 3 au UK 11 et plus.",chaussettes de foot,Glosář: socks_stutzen -> chaussettes de foot (Source contains 'štulpny')
gid://shopify/Product/7206853738579,SRC(bg): BU1 зелени чорапи без стелка,калци,Glosář: socks_stutzen -> калци (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(bg): На тези чорапи наистина се постарахме.  Перфектна смес от лек и функционален материал ще осигури, че щулпите ще държат здраво и в същото време ще бъдат много приятни. Идеално за тези, които обичат да използват чорапите си с щулпни. <strong>Г-н администратор във вашия клуб ще ви обича, вече няма да се налага да режете щулпените :-)</strong> Специална мрежа на прасеца за подобряване на комфорта. Материал: 80 % полипропилен, 15 % гума, 5 % еластан. Наличен в размери от UK 3 до UK 11 и повече.",калци,Glosář: socks_stutzen -> калци (Source contains 'štulpny')
gid://shopify/Product/7206853738579,"SRC(bg): 💚 BU1 štulpny - леки и удобни с дишаща мрежа. Идеални за носене с чорапи, отлична поддръжка при движение. Доставят се в размери UK 3-11+.",калци,Glosář: socks_stutzen -> калци (Source contains 'štulpny')
gid://shopify/Product/7206854131795,SRC(hu): BU1 zöld zoknik,sportszár,Glosář: socks_stutzen -> sportszár (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(hu): <p>Ezekre a zoknikra valóban nagy figyelmet fordítottunk.  A könnyű és funkcionális anyag tökéletes keveréke biztosítja, hogy a zoknik szorosan tartsanak, miközben nagyon kényelmesek is.</p>
<p>Speciális hálós anyag a vádlin és a lábfejen a kényelem javítása érdekében.</p>
<p>Anyag: 55% polipropilén, 25% pamut, 15% gumi, 5% elasztán</p>
<p>Elérhető UK 3-tól UK 11-ig és még tovább.</p>",sportszár,Glosář: socks_stutzen -> sportszár (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(pl): <p> Na tych skarpetach naprawdę nam zależało. Perfekcyjne połączenie lekkiego i funkcjonalnego materiału zapewnia, że skarpety będą solidnie trzymać, a jednocześnie będą bardzo przyjemne.</p>
<p> Specjalna siateczka na łydce i podbiciu dla zwiększenia komfortu.</p>
<p> Materiał: 55% polipropylen, 25% bawełna, 15% guma, 5% elastan</p>
<p> Dostępne w rozmiarach od UK 3 do UK 11 i więcej.</p>",getry,Glosář: socks_stutzen -> getry (Source contains 'štulpny')
gid://shopify/Product/7206854131795,SRC(sk): BU1 štulpny zelené,štulpne,Glosář: socks_stutzen -> štulpne (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(ro): <p>Ne-am străduit cu adevărat la aceste șosete.  Un amestec perfect de material ușor și funcțional va asigura că șosetele vor rămâne bine fixate și în același timp vor fi foarte plăcute.</p>
<p>O plasă specială pe gambe și pe partea superioară a piciorului pentru a îmbunătăți confortul.</p>
<p>Material: 55% polipropilenă, 25% bumbac, 15% cauciuc, 5% elastan</p>
<p>Disponibile în dimensiuni de la UK 3 la UK 11 și mai mult.</p>",jambiere,Glosář: socks_stutzen -> jambiere (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(ro): 💚 Șosete BU1 elegante în verde - ușoare, confortabile cu plasă pentru suport perfect. Perfecte pentru sport și purtare zilnică. Mărimi UK 3-11. Descoperiți confortul!",jambiere,Glosář: socks_stutzen -> jambiere (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(hr): <p>Na ovim čarapama smo se stvarno potrudili.  Savršen miks laganog i funkcionalnog materijala osigurava da će čarape čvrsto držati, a istovremeno biti vrlo ugodne.</p>
<p>Specijalna mrežica na listu i stopalu za poboljšanje udobnosti.</p>
<p>Materijal: 55% polipropilen, 25% pamuk, 15% guma, 5% elastan</p>
<p>Dostupne u veličinama od UK 3 do UK 11 i više.</p>",štucne,Glosář: socks_stutzen -> štucne (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(hr): 💚 Stilne BU1 štulapne u zelenoj boji - lagane, udobne s mrežicom za savršenu potporu. Savršene za sport i svakodnevno nošenje. Veličine UK 3-11. Otkrijte udobnost!",štucne,Glosář: socks_stutzen -> štucne (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(es): <p>En estos calcetines realmente nos hemos esforzado.  Una mezcla perfecta de material ligero y funcional asegura que los calcetines se mantendrán firmes y, al mismo tiempo, serán muy cómodos.</p>
<p>Malla especial en la pantorrilla y el empeine para mejorar la comodidad.</p>
<p>Material: 55% polipropileno, 25% algodón, 15% goma, 5% elastano</p>
<p>Disponibles en tallas desde UK 3 hasta UK 11 y más.</p>",medias,Glosář: socks_stutzen -> medias (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(es): 💚 Estilosos calcetines BU1 en verde - ligeros, cómodos con malla para un soporte perfecto. Perfectos para deportes y uso diario. Tallas UK 3-11. ¡Descubre la comodidad!",medias,Glosář: socks_stutzen -> medias (Source contains 'štulpny')
